grid_id,PR,BH_avg,APAR,RD,poi_diversity,dominant_function_ratio,PD,ED,LPI,nli,LST_mean
9584,0.443190808218738,29.294117647058822,0.2421401095368611,0.0,0.0,0.0,12.0,10600.0,82.75,6.725,29.040952380952408
9585,1.4815159168762917,39.75,0.2890001357474159,0.0,0.0,0.0,32.0,12900.0,79.5,17.115,28.79952380952384
9586,0.8549350787813251,19.33333333333333,0.1628228463277977,179.4099996970081,0.0,0.0,16.0,21300.0,61.75000000000001,6.795,28.25458333333336
9588,0.3761503665336332,42.0,0.2236833555743891,0.0,0.0,0.0,56.0,34300.0,50.0,15.68,28.618095238095265
9591,0.1007684856947251,24.0,0.2137383272337873,0.0,0.0,0.0,32.0,20900.0,69.5,5.455,28.69653061224493
9592,0.7746141313902248,26.90909090909091,0.349540548795157,83.69270818299188,0.0,0.0,24.0,13200.0,77.75,7.15,28.94918367346942
9594,0.4146568431269906,17.25,0.2186334070951011,0.0,0.0,0.0,12.0,6800.0,87.0,5.1725,28.565714285714314
9597,0.1161907672862615,17.0,0.1923094492448934,0.0,0.0,0.0,24.0,26500.0,50.5,4.0225,28.38476190476193
9598,0.0479827275175512,18.0,0.2019412122278434,0.0,0.0,0.0,36.0,26900.0,45.5,3.9825,28.255238095238123
9599,0.93842803568474,21.5,0.230745310304291,0.0,0.0,0.0,48.0,26800.0,46.25,4.4575,28.020000000000024
9611,0.287840578697009,36.0,0.4510416733574972,0.0,0.0,0.0,8.0,42300.0,33.75,11.035,28.272380952380985
9612,1.1518873833720715,20.04255319148936,0.2581411785692041,0.0,0.0,0.0,48.0,20400.0,68.75,5.515,28.98250000000003
9613,0.3115111650457723,58.2,0.2152234029618563,146.29308055327053,0.0,0.0,12.0,28100.0,35.25,3.3975,29.14333333333336
9614,1.9497293384565784,45.21428571428572,0.2730858133611551,0.0,0.0,0.0,40.0,23700.0,51.0,7.96,28.9766666666667
9615,0.2802414927681833,18.857142857142858,0.4486331282406988,0.0,0.0,0.0,40.0,32200.0,50.24999999999999,4.3125,28.63375000000003
9616,0.0284490788776889,45.0,0.2115053885093926,974.993097833991,0.0,0.0,12.0,17400.0,67.75,3.0975,29.665714285714312
9621,0.4045572138007535,10.956521739130435,0.2185015708421256,0.0,0.0,0.0,44.0,35900.0,28.000000000000004,4.2875,28.277142857142888
9622,0.2957645497172216,11.8125,0.3989815036086579,0.0,0.0,0.0,40.0,36900.0,30.25,3.815,28.439047619047653
9623,0.7258423155051241,14.615384615384617,0.2011063822244378,0.0,0.0,0.0,4.0,42400.0,15.5,3.95,29.3861904761905
9624,0.3257609287103743,15.923076923076923,0.2118015092603296,934.6068612362178,0.0,0.0,12.0,29100.0,49.5,4.8975,29.11000000000003
9625,0.1695056388634473,9.0,0.2554772441548181,1312.739478950028,0.0,0.0,4.0,30000.0,34.75,5.0325,28.745238095238133
9626,0.0137092622683205,6.0,0.1504494783305786,608.2299448229185,0.0,0.0,20.0,27900.0,21.5,3.9525,29.384285714285745
9627,0.5379643211007512,14.666666666666666,0.1855670120135416,67.23489038599485,0.0,0.0,12.0,30300.0,49.5,4.175,28.83095238095241
9628,0.3359750514534889,12.714285714285714,0.3477089677018793,1135.2678273940876,0.0,0.0,36.0,36400.0,47.5,5.0925,28.89333333333336
9643,0.2732366888247816,18.923076923076923,0.2195267914370161,0.0,0.0,0.0,32.0,21800.0,50.0,5.135,28.82392857142861
9645,0.306670004605782,19.285714285714285,0.1166065406948894,0.0,0.0,0.0,40.0,23300.0,51.0,7.205,29.02500000000003
9647,0.310754978906068,36.0,0.506502884825334,0.0,0.0,0.0,8.0,26600.0,35.25,9.434999,28.78571428571432
9655,0.1729441301252973,9.642857142857142,0.2849087419523139,0.0,0.0,0.0,28.0,28900.0,33.25,1.585,27.80285714285717
9657,0.3805646871487992,11.357142857142858,0.2479698779645551,0.0,0.0,0.0,8.0,29900.0,36.0,1.1425,27.280476190476215
9658,0.7816408679403141,11.181818181818182,0.27255500676106,237.1678579097071,0.0,0.0,4.0,22100.0,69.0,1.87,27.99761904761907
9659,0.2691978871646072,12.4,0.196603509121341,0.0,0.0,0.0,20.0,21100.0,66.0,1.355,28.35375000000003
9660,0.0159822763438311,6.0,0.3082883225130848,38.56738282279166,0.0,0.0,28.0,32500.0,46.25,1.74,29.04571428571432
9663,0.0043789013334023,6.0,0.3050409933013958,0.0,0.0,0.0,44.0,37400.0,12.5,1.1783334,27.55238095238098
9681,0.0109517957765109,4.5,0.22968107470981,0.0,0.0,0.0,16.0,38700.0,21.25,1.6925,27.10904761904765
9683,0.1510964570891703,7.333333333333333,0.4208883375985929,0.0,0.0,0.0,40.0,37800.0,24.75,2.265,29.24571428571432
9684,0.2984152599550827,16.571428571428573,0.3037857123639496,0.0,0.0,0.0,36.0,28200.0,24.25,1.8675,27.36333333333336
9685,0.3911321056729548,7.241379310344827,0.2790584898046284,0.0,0.0,0.0,12.0,24300.0,54.25,2.52,27.740000000000023
9686,0.0010328271172976,3.0,0.3530675347807064,0.0,0.0,0.0,4.0,31700.0,22.0,0.0,29.457142857142884
9688,0.0033585285344121,3.0,0.3989389978986399,0.0,0.0,0.0,48.0,44700.0,17.25,0.0,27.3891666666667
9695,0.0960453909279056,13.5,0.3055269747180245,0.0,1.0,1.0,36.0,32700.0,25.5,2.7275,29.164693877551056
9696,0.0402301403939054,7.714285714285714,0.2676375922004547,475.6799793677933,0.0,0.0,24.0,31700.0,25.75,1.62,29.35571428571432
9697,0.6657424188110946,10.984615384615385,0.3343086596903967,257.66374510547826,0.0,0.0,8.0,39700.0,28.000000000000004,3.0175,28.659523809523844
9699,0.1680600460291617,16.5,0.2772874513311198,0.0,0.0,0.0,8.0,26900.0,49.25,1.7075,29.30952380952383
9700,0.2145664853740732,15.5,0.4682815242939382,0.0,0.0,0.0,24.0,33400.0,30.75,2.8975,29.112380952380985
9702,0.8068098555378965,9.0,0.315454306003523,0.0,0.0,0.0,24.0,13600.0,60.75000000000001,3.2475,29.02673469387758
9703,0.2451996231480795,11.210526315789474,0.4346544413925926,524.6728538941763,0.0,0.0,36.0,38300.0,18.75,3.995,28.34714285714288
9705,0.6754037533324263,10.625,0.3528431045489913,261.132521500383,1.0,1.0,44.0,21700.0,61.5,3.3,28.79714285714289
9706,1.113889322584738,9.173076923076923,0.324188196879764,536.2629793349208,0.0,0.0,16.0,10100.0,80.5,3.7875,28.68380952380955
9708,0.0998550526136732,21.0,0.2422833430897173,0.0,1.0,1.0,64.0,30400.0,28.75,5.3675,28.8514285714286
9709,0.3478368619384039,15.428571428571429,0.2138341556354924,0.0,0.0,0.0,68.0,38500.0,14.499999999999998,4.05,28.6119047619048
9710,0.3138877510983078,9.576923076923077,0.4166646644730863,252.4887363713256,0.0,0.0,68.0,32100.0,35.75,5.3225,28.77380952380955
9723,0.0372024760736516,14.0,0.1583722954191993,0.0,1.0,1.0,68.0,32900.0,50.24999999999999,3.49,29.49095238095241
9724,0.4722800607206801,9.975,0.2967733544285294,0.0,0.0,0.0,4.0,25900.0,59.75,1.8433334,29.336190476190502
9725,0.0645397286084583,45.0,0.1572215628745701,0.0,0.0,0.0,24.0,17500.0,75.5,3.4325,29.39285714285717
9726,1.472881067911117,30.6734693877551,0.2460559385245361,0.0,0.0,0.0,60.0,22100.0,66.25,4.5625,29.369047619047645
9727,0.6577965906199583,12.327272727272728,0.2833163800637376,59.05473077762365,1.0,1.0,48.0,31100.0,58.75,2.2416666,28.87095238095241
9728,0.4091647072593938,37.25,0.5579148472904638,1111.4643124742984,0.0,0.0,72.0,28300.0,64.75,5.8975,29.162857142857177
9729,0.9072125864655902,34.5,0.30990982759899,0.0,0.0,0.0,16.0,40500.0,35.0,2.5075,29.01380952380956
9730,0.0239070185485677,21.0,0.2210563332156639,55.696412777175,0.0,0.0,12.0,33100.0,41.5,4.0475,28.38523809523812
9732,0.2292984835038544,24.0,0.2128619566414926,0.0,0.0,0.0,4.0,29900.0,25.0,2.8975,28.090476190476227
9733,0.356908435906022,13.714285714285714,0.3080928243734778,35.42922939601102,0.0,0.0,4.0,39600.0,19.75,2.3975,27.910476190476224
9735,0.4246356313047946,17.285714285714285,0.2079826317574465,12.378332645680928,0.0,0.0,12.0,21700.0,45.5,2.7475,29.10809523809527
9740,0.0499023326665195,6.8,0.316097349597858,0.0,0.0,0.0,8.0,31600.0,38.5,4.54,28.74095238095241
9811,0.2291367050699312,10.125,0.284630781123562,0.0,0.0,0.0,80.0,34200.0,19.5,3.3475,28.64541666666669
9869,0.1501528986926454,34.0,0.1924435057757806,0.0,0.0,0.0,40.0,43600.0,41.75,3.045,29.05081632653064
9870,9.121041312953594e-05,6.0,1.8343100943194648,75.14186171852418,0.0,0.0,12.0,45500.0,17.0,3.85,28.60551020408167
9883,0.2021304881979705,3.0,0.2066950009230198,0.0,0.0,0.0,28.0,25200.0,36.0,2.3225,28.79204081632656
9886,0.0482882278350575,12.0,0.3336717736471575,0.0,0.0,0.0,28.0,31200.0,22.75,2.56,28.765238095238125
9889,0.7386591378620907,10.5,0.2989516751615098,0.0,0.0,0.0,44.0,29500.0,44.0,3.7275,28.90523809523812
9901,1.352066849062164,24.11320754716981,0.2139894548414522,0.0,0.0,0.0,20.0,37500.0,49.0,3.205,29.034285714285748
9902,0.6759176950722424,13.045454545454543,0.2137799341396654,0.0,0.0,0.0,4.0,22300.0,60.75000000000001,2.8875,29.033333333333363
9903,0.1856674995578458,15.6,0.1848304822021841,0.0,0.0,0.0,20.0,24600.0,67.5,3.7275,28.67523809523813
9905,0.0599967824630653,24.0,0.1494884330971735,0.0,0.0,0.0,16.0,18300.0,63.74999999999999,5.51,28.53952380952384
9909,0.831509442172421,33.666666666666664,0.2614303966066132,0.0,0.0,0.0,52.0,30600.0,55.50000000000001,5.6275,29.19857142857146
9910,1.4839325103247356,50.8421052631579,0.1806748195853186,0.0,0.0,0.0,48.0,35300.0,54.25,4.375,28.97523809523812
9912,0.7201279066807418,12.266666666666667,0.1967839697082606,0.0,0.0,0.0,4.0,15300.0,74.5,4.86,28.580952380952404
9913,0.2409178668453729,9.333333333333334,0.3550478516797907,0.0,0.0,0.0,12.0,42200.0,22.75,2.415,29.36333333333336
9914,0.5804780603848448,10.575,0.2808914796792539,0.0,0.0,0.0,52.0,37500.0,50.0,2.5575,29.14619047619051
9915,0.208869635565182,8.680851063829786,0.3354968454489027,0.0,0.0,0.0,8.0,34400.0,33.5,1.34,29.372083333333364
9916,0.3626056278549024,10.227272727272728,0.2717521567236311,0.0,0.0,0.0,12.0,9500.0,82.5,4.78,28.999047619047648
9917,0.0068215654431609,42.0,0.4435451488033244,0.0,0.0,0.0,48.0,25300.0,64.5,4.6925,29.311428571428603
9918,1.8999199297490488,30.613636363636363,0.2152653559183648,0.0,0.0,0.0,4.0,38800.0,24.0,2.58,29.174761904761937
